n,TempoIJ,TempoJI
           0 ,   3.0000000004193339E-006 ,   1.0000000001397780E-006
        1000 ,   8.6040000000000560E-003 ,   3.6079999999998336E-003
        2000 ,   5.8881000000000405E-002 ,   1.3739999999999419E-002
        3000 ,  0.13454400000000000      ,   2.9175000000000395E-002
        4000 ,  0.23163899999999948      ,   5.2059999999999995E-002
        5000 ,  0.35598499999999955      ,   8.0441999999999680E-002
        6000 ,  0.50674300000000017      ,  0.11550199999999933     
        7000 ,  0.72006999999999977      ,  0.16304899999999911     
        8000 ,   1.0381140000000002      ,  0.21377900000000061     
        9000 ,   1.4861959999999996      ,  0.28268399999999971     
       10000 ,   1.9234880000000008      ,  0.32318700000000078     
       11000 ,   2.2974260000000015      ,  0.38857100000000067     
       12000 ,   3.0015029999999978      ,  0.46366899999999944     
       13000 ,   3.8104579999999970      ,  0.54631600000000091     
       14000 ,   4.5820640000000026      ,  0.63412600000000197     
       15000 ,   5.4447499999999991      ,  0.75917600000000363     
       16000 ,   6.7432269999999974      ,  0.88415499999999980     
